Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
399847958,"25 Sep 2015, 12:48:38",Hampstead jog with C,Run,,2072,4.75,,false,,activities/399847958.gpx
400618060,"26 Sep 2015, 14:32:26",To Hampstead,Ride,,901,4.57,,false,,activities/400618060.gpx
400696262,"26 Sep 2015, 17:12:21",From Hampstead,Ride,,1044,4.93,,false,,activities/400696262.gpx
401330134,"27 Sep 2015, 11:31:01",To Lee Valley and back,Ride,HR monitor issues,8645,46.64,57,false,,activities/450561630.fit.gz
404224426,"1 Oct 2015, 16:20:08",Afternoon Ride,Ride,,4251,32.20,111,false,,activities/453545202.fit.gz
404681904,"2 Oct 2015, 11:16:35",Lunch Ride,Ride,,3964,30.29,134,false,,activities/454016727.fit.gz
405207201,"3 Oct 2015, 08:30:23",Pre-breakfast Berko recovery,Ride,"",3347,21.27,37,false,,activities/454559875.fit.gz
406332153,"4 Oct 2015, 16:20:42","Zwift - Richmond, VA 10/04/2015",Virtual Ride,"Zwift test lap lessons learned
- have a drink handy
- have fan much closer
- sort out consistency of heart rate monitor",2311,18.05,25,false,,activities/455737839.fit.gz
407697701,"6 Oct 2015, 18:51:43","Zwift - Richmond - low cadence, high gear",Virtual Ride,"",4518,33.06,0,false,,activities/457149194.fit.gz
409034272,"8 Oct 2015, 18:59:09",Zwift - Watopia 10/08/2015,Virtual Ride,,4221,28.25,34,false,,activities/458528871.fit.gz
409391240,"9 Oct 2015, 11:23:52",Lunch Ride,Ride,,3662,28.09,91,false,,activities/458898569.fit.gz
411513227,"12 Oct 2015, 11:16:12",Lunchtime peleton - reverse Cranfield loop,Ride,"Heart rate monitor fail
Martin got a puncture",5347,32.29,83,false,,activities/461112002.fit.gz
412160940,"13 Oct 2015, 11:16:26",OUCC steady Ridgemont,Ride,"",4304,29.36,49,false,,activities/461780713.fit.gz
413698825,"15 Oct 2015, 18:16:43",Zwift - Watopia 10/15/2015,Virtual Ride,">300W on the main hill
All out on sprint
<200W recovery",4362,38.00,53,false,,activities/463365662.fit.gz
414058672,"16 Oct 2015, 11:22:24",Milton Bryan - Ridgemont w/ Ben and Martin,Ride,"",4421,33.21,59,false,,activities/463738872.fit.gz
415655699,"18 Oct 2015, 09:43:03",Out to Lee Valley to watch some Canoe Polo!,Ride,"",3591,24.38,107,false,,activities/465401497.fit.gz
415655759,"18 Oct 2015, 15:57:45",Return from Lee Valley,Ride,"",4463,27.57,142,false,,activities/465401559.fit.gz
416691761,"20 Oct 2015, 11:21:16",Short Bow Brickhill w/ Hoa,Ride,"",2790,19.29,69,false,,activities/466473959.fit.gz
418224462,"22 Oct 2015, 18:18:42",Zwift - Watopia intervals,Virtual Ride,"Full effort sprints, >300 W main hill",4234,37.68,51,false,,activities/468056994.fit.gz
418568752,"23 Oct 2015, 11:16:22",OUCC Ridgmont,Ride,Went for Monster PR - nailed it.,3855,29.40,100,false,,activities/468414907.fit.gz
420238074,"25 Oct 2015, 15:51:26",Zwift - Richmond - Watching the rugby at 70 rpm,Virtual Ride,"",7719,63.12,102,false,,activities/470162922.fit.gz
420690747,"26 Oct 2015, 12:20:35",OUCC gentle Cranfield,Ride,"",4158,32.20,34,false,,activities/470635889.fit.gz
421275240,"27 Oct 2015, 12:20:48",OUCC Ridgmont w/ guest ,Ride,"",3883,29.06,87,false,,activities/471238773.fit.gz
424470878,"1 Nov 2015, 12:53:20",Ruislip Lido: Getting my Recommended Monthly Allowance of NOx in traffic,Ride,Garmin crashed ~3x...,8309,42.64,103,false,,activities/474560828.fit.gz
425292431,"2 Nov 2015, 19:06:39",Zwift - Watopia - FTP Test,Virtual Ride,Aimed for 250 W average for 20 min and it was tough. Got FTP result of 239 W.,4455,37.20,76,false,,activities/475417604.fit.gz
426525816,"4 Nov 2015, 19:16:10",Zwift - Watopia - 12wk FTP Builder (advanced) Week 1 Day 1,Virtual Ride,Seemed too easy but guess it's the start of the training...,3112,23.38,20,false,,activities/476686818.fit.gz
427137881,"5 Nov 2015, 19:42:45",Zwift - Watopia - 12wk FTP Builder (advanced) Week 1 Day 2,Virtual Ride,,3543,28.30,11,false,,activities/477316676.fit.gz
427668747,"6 Nov 2015, 19:15:10",Zwift - Watopia - 12wk FTP Builder (advanced) Week 1 Day 3,Virtual Ride,,3662,28.18,11,false,,activities/477863696.fit.gz
427935674,"7 Nov 2015, 09:08:18",Zwift - Watopia - 12wk FTP Builder (advanced) Week 1 Day 4,Virtual Ride,,4542,36.08,29,false,,activities/478139896.fit.gz
429672129,"9 Nov 2015, 18:39:14","Zwift - Richmond, VA - 12wk FTP Builder (advanced) Week 2 Day 1",Virtual Ride,,3341,28.13,10,false,,activities/479948567.fit.gz
430336640,"10 Nov 2015, 20:02:45","Zwift - Richmond, VA - 12wk FTP Builder (advanced) Week 2 Day 2",Virtual Ride,,4162,33.43,26,false,,activities/480627697.fit.gz
430971217,"11 Nov 2015, 19:10:13",Zwift - Watopia - 12wk FTP Builder (advanced) Week 2 Day 3,Virtual Ride,,4243,32.63,25,false,,activities/481282788.fit.gz
432034716,"13 Nov 2015, 17:14:01",Zwift - Watopia - 12wk FTP Builder (advanced) Week 2 Day 4,Virtual Ride,,4240,34.39,19,false,,activities/482376633.fit.gz
434014647,"16 Nov 2015, 19:22:52","Zwift - Richmond, VA - Jon's Mix",Virtual Ride,,3711,30.28,26,false,,activities/484437412.fit.gz
435734221,"19 Nov 2015, 20:45:08",Zwift - Watopia - The McCarthy Special,Virtual Ride,,4107,31.38,75,false,,activities/486183098.fit.gz
436243259,"20 Nov 2015, 20:41:14",Zwift - Watopia - SST (Med),Virtual Ride,,5388,47.04,49,false,,activities/486705115.fit.gz
438133124,"23 Nov 2015, 18:59:01","Zwift - Richmond, VA - 12wk FTP Builder (advanced) Week 3 Day 1",Virtual Ride,,3729,31.56,11,false,,activities/488672389.fit.gz
438698646,"24 Nov 2015, 19:29:30","Zwift - Richmond, VA - aborted training since I didn't have time",Virtual Ride,"",639,4.79,1,false,,activities/489251739.fit.gz
438724840,"24 Nov 2015, 19:41:41","Zwift - Richmond, VA - Jon's Short Mix",Virtual Ride,,2014,17.10,15,false,,activities/489277869.fit.gz
439341091,"25 Nov 2015, 19:27:41",Zwift - Watopia - 12wk FTP Builder (advanced) Week 3 Day 2,Virtual Ride,,5021,40.28,27,false,,activities/489911757.fit.gz
439943359,"26 Nov 2015, 19:47:31",Zwift - Watopia - 12wk FTP Builder (advanced) Week 3 Day 3,Virtual Ride,,4185,32.62,25,false,,activities/490528772.fit.gz
440438298,"27 Nov 2015, 20:31:40",Zwift - Watopia - 12wk FTP Builder (advanced) Week 3 Day 4,Virtual Ride,,5116,43.18,19,false,,activities/491036614.fit.gz
441888573,"30 Nov 2015, 08:16:29","Zwift - Richmond, VA - 12wk FTP Builder (advanced) Week 4 Day 1",Virtual Ride,,3991,32.07,13,false,,activities/492542739.fit.gz
442643688,"1 Dec 2015, 18:01:45","Zwift - Richmond, VA - 12wk FTP Builder (advanced) Week 4 Day 2",Virtual Ride,,4445,35.07,16,false,,activities/493307638.fit.gz
443319678,"2 Dec 2015, 20:28:42",Zwift - Watopia - 12wk FTP Builder (advanced) Week 4 Day 3,Virtual Ride,,4114,32.64,24,false,,activities/493993139.fit.gz
443829243,"3 Dec 2015, 20:06:44",Zwift - Watopia - 12wk FTP Builder (advanced) Week 4 Day 4,Virtual Ride,,3394,26.37,12,false,,activities/494518394.fit.gz
444359847,"4 Dec 2015, 21:41:18",Zwift - Watopia 12/04/2015,Virtual Ride,,2249,19.46,18,false,,activities/495057712.fit.gz
446789586,"8 Dec 2015, 19:07:49","Zwift - Richmond, VA - 12wk FTP Builder (advanced) Week 5 Day 1",Virtual Ride,,4199,33.12,12,false,,activities/497557807.fit.gz
447371447,"9 Dec 2015, 19:15:11",Zwift - Watopia - 12wk FTP Builder (advanced) Week 5 Day 2,Virtual Ride,,3519,29.05,14,false,,activities/498148222.fit.gz
447932074,"10 Dec 2015, 19:45:30",Zwift - Watopia - 12wk FTP Builder (advanced) Week 5 Day 3,Virtual Ride,,3606,29.23,13,false,,activities/498717325.fit.gz
448658373,"12 Dec 2015, 09:04:48",Zwift - Watopia - 12wk FTP Builder (advanced) Week 5 Day 4,Virtual Ride,1000 km total on Zwift,5725,47.04,59,false,,activities/499463906.fit.gz
450246326,"14 Dec 2015, 19:10:16","Zwift - Richmond, VA - 12wk FTP Builder (advanced) Week 6 Day 1",Virtual Ride,,4138,33.09,26,false,,activities/501103362.fit.gz
451278774,"16 Dec 2015, 18:20:11",Zwift - Watopia - 12wk FTP Builder (advanced) Week 6 Day 2,Virtual Ride,,4344,34.41,28,false,,activities/502154902.fit.gz
451906494,"17 Dec 2015, 21:18:08",Zwift - Watopia - 12wk FTP Builder (advanced) Week 6 Day 3,Virtual Ride,,3845,30.02,15,false,,activities/502790489.fit.gz
452099116,"18 Dec 2015, 09:21:04",Zwift - Watopia - 12wk FTP Builder (advanced) Week 6 Day 4,Virtual Ride,,5797,47.04,71,false,,activities/502986615.fit.gz
458283992,"25 Dec 2015, 04:30:01",Walk round to the lighthouse,Run,,3990,3.91,,false,,activities/458283992.gpx
459697974,"28 Dec 2015, 22:23:50",Jog/walk with C round the coast,Run,"",925,1.79,,false,,activities/459697974.gpx
467320777,"10 Jan 2016, 12:11:53",Zwift - Watopia - 2x20 FTP Intervals,Virtual Ride,,5571,46.04,130,false,,activities/518582889.fit.gz
468287428,"11 Jan 2016, 18:58:54",Zwift - Watopia - 12wk FTP Builder (advanced) Week 6 Day 1,Virtual Ride,,4016,32.04,25,false,,activities/519563150.fit.gz
469032180,"12 Jan 2016, 19:48:12",Zwift - Watopia - 12wk FTP Builder (advanced) Week 6 Day 2,Virtual Ride,,4225,36.07,36,false,,activities/520307117.fit.gz
469741577,"13 Jan 2016, 19:35:58",Zwift - Watopia - 12wk FTP Builder (advanced) Week 6 Day 3,Virtual Ride,,3852,32.26,18,false,,activities/521016399.fit.gz
471016289,"15 Jan 2016, 18:39:29","Zwift - Richmond, VA - 10-12wk FTP Builder Week 6 Day 4",Virtual Ride,,6184,50.07,50,false,,activities/522298308.fit.gz
471321099,"16 Jan 2016, 09:12:37","Zwift - Richmond, VA - 10-12wk FTP Builder Week 6 Day 5",Virtual Ride,,3880,30.10,25,false,,activities/522608385.fit.gz
473285697,"18 Jan 2016, 19:02:26",Zwift - Watopia - 10-12wk FTP Builder Week 7 Day 1,Virtual Ride,,4861,40.05,28,false,,activities/524611250.fit.gz
473990807,"19 Jan 2016, 19:07:59",Zwift - Watopia - 10-12wk FTP Builder Week 7 Day 2,Virtual Ride,,4619,38.06,31,false,,activities/525314602.fit.gz
474690630,"20 Jan 2016, 19:05:15",Zwift - Watopia - 10-12wk FTP Builder Week 7 Day 3,Virtual Ride,,4319,36.11,42,false,,activities/526017529.fit.gz
475407952,"21 Jan 2016, 19:07:50",Zwift - Watopia - 10-12wk FTP Builder week 7 Day 4,Virtual Ride,,6146,50.14,98,false,,activities/526734160.fit.gz
476620632,"23 Jan 2016, 12:32:11",St Albans return,Ride,"",9623,53.29,168,false,,activities/527962107.fit.gz
478129953,"25 Jan 2016, 12:25:21",So that's what running feels like,Run,Thought that was the 5km route...,2947,8.20,,false,,activities/478129953.gpx
479060486,"26 Jan 2016, 18:20:27",Zwift Watopia 1 lap recovery,Virtual Ride,"",2570,10.02,8,false,,activities/530460299.fit.gz
479141101,"25 Jan 2016, 12:25:41",Lunch Run - w/HR monitor,Run,"",2901,7.84,94,false,,activities/530541937.fit.gz
480672312,"28 Jan 2016, 19:21:44","Zwift - Richmond, VA - 10-12wk FTP Builder week 7 Day 5",Virtual Ride,,3848,30.13,24,false,,activities/532114396.fit.gz
482595111,"31 Jan 2016, 10:11:15",Winter run 10k for Cancer Research UK,Run,"",4782,11.46,85,false,,activities/534078016.fit.gz
483729480,"1 Feb 2016, 19:37:01",Zwift - Watopia - The Wringer,Virtual Ride,,2973,23.43,53,false,,activities/535236744.fit.gz
484475933,"2 Feb 2016, 19:05:29",Zwift - Watopia Sub2,Virtual Ride,First group ride. Started late - tried to catch Sub3 but met Sub2 instead! Hill climb to finish.,5118,47.27,67,false,,activities/535990193.fit.gz
486593474,"5 Feb 2016, 18:18:05","Zwift - Richmond, VA - SST (Short)",Virtual Ride,,4001,31.41,95,false,,activities/538124248.fit.gz
488038545,"7 Feb 2016, 10:42:25",Zwift - Metric century,Virtual Ride,"Solo, then caught ODZ 2.5 group",11474,105.43,157,false,,activities/539595937.fit.gz
489035380,"8 Feb 2016, 19:39:54",Zwift - Watopia - 10-12wk FTP Builder Week 8 Day 1,Virtual Ride,,3697,30.11,24,false,,activities/540607924.fit.gz
490415196,"10 Feb 2016, 17:35:53",Zwift - Watopia - 10-12wk FTP Builder Week 8 Day 2,Virtual Ride,,3660,28.64,20,false,,activities/541990929.fit.gz
491294090,"11 Feb 2016, 19:38:22","Zwift - Richmond, VA - 10-12wk FTP Builder Week 8 Day 3",Virtual Ride,Put FTP up to 245 - need to reassess...,3748,28.29,13,false,,activities/542867309.fit.gz
492003105,"12 Feb 2016, 20:31:03","Zwift - Richmond, VA - 10-12wk FTP Builder Week 8 Day 4",Virtual Ride,,4935,39.36,44,false,,activities/543571888.fit.gz
493144053,"14 Feb 2016, 10:08:24",5km jog with C,Run,"",2526,5.15,38,false,,activities/544735773.fit.gz
494328589,"15 Feb 2016, 19:08:31",Zwift - Watopia - 10-12wk FTP Builder Week 9 Day 1,Virtual Ride,,5197,42.02,27,false,,activities/545933167.fit.gz
495057463,"16 Feb 2016, 18:41:52",Zwift - Watopia - 10-12wk FTP Builder Week 9 Day 2,Virtual Ride,,5309,47.05,45,false,,activities/546662056.fit.gz
495852822,"17 Feb 2016, 19:24:58",Zwift - Watopia - 10-12wk FTP Builder Week 9 Day 3,Virtual Ride,,5240,42.12,26,false,,activities/547457698.fit.gz
497174359,"19 Feb 2016, 15:18:27",12wk FTP Builder w9 d4 + tag onto ULED,Virtual Ride,I think that worked the real ale out of my system...,9571,77.08,100,false,,activities/548784282.fit.gz
499152182,"21 Feb 2016, 18:47:10",Zwift - Watopia - 10-12wk FTP Builder Week 10 Day 1,Virtual Ride,,5547,44.65,34,false,,activities/550839981.fit.gz
499871161,"22 Feb 2016, 19:28:00",Zwift - Watopia - Abandoned Wk 10 D 2,Virtual Ride,,2944,23.04,20,false,,activities/551629537.fit.gz
501487744,"24 Feb 2016, 19:14:48",Zwift - Watopia - 10-12wk FTP Builder Week 10 Day 2,Virtual Ride,Feelin much better after a day's rest!,5205,44.01,68,false,,activities/553249895.fit.gz
502258388,"25 Feb 2016, 19:43:28","Zwift - Richmond, VA - 10-12wk FTP Builder Week 10 Day 3",Virtual Ride,,4859,38.85,32,false,,activities/554024164.fit.gz
502982751,"26 Feb 2016, 20:16:17","Zwift - Richmond, VA - 10-12wk FTP Builder week 10 Day 4",Virtual Ride,,5566,45.01,79,false,,activities/554753617.fit.gz
505570367,"29 Feb 2016, 19:37:02",Zwift - Watopia - Warm-up,Virtual Ride,Cancelled for a shorter workout.,328,1.56,1,false,,activities/557397299.fit.gz
505605792,"29 Feb 2016, 19:43:55",Zwift - Watopia - The Wringer,Virtual Ride,,2328,19.20,47,false,,activities/557431755.fit.gz
506351306,"1 Mar 2016, 18:44:34",Zwift - Watopia - 2x20 FTP Intervals,Virtual Ride,,4952,42.01,136,false,,activities/558178570.fit.gz
511177014,"7 Mar 2016, 19:38:10",Zwift - Watopia - 10-12wk FTP Builder Week 11 Day 1,Virtual Ride,,5083,38.54,16,false,,activities/563220514.fit.gz
517146999,"14 Mar 2016, 18:48:40",Zwift - Watopia - 10-12wk FTP Builder Week 11 Day 2,Virtual Ride,,6107,50.94,107,false,,activities/569492439.fit.gz
517905385,"13 Mar 2016, 13:19:22",St Albans 20 km with C,Ride,"",5291,21.41,21,false,,activities/570335640.fit.gz
519684271,"17 Mar 2016, 19:13:21","Zwift - Richmond, VA - 10-12wk FTP Builder Week 11 Day 3",Virtual Ride,,5621,43.73,37,false,,activities/572119775.fit.gz
520946468,"19 Mar 2016, 11:40:18",Zwift - FTP Builder wk11 d5 + mountain climbing,Virtual Ride,,7311,47.13,102,false,,activities/573413522.fit.gz
523170679,"21 Mar 2016, 18:50:55",Zwift - Watopia - 10-12wk FTP Builder Week 12 Day 1,Virtual Ride,,3702,25.44,12,false,,activities/575691592.fit.gz
524062020,"22 Mar 2016, 19:33:41",Zwift - Watopia - 10-12wk FTP Builder Week 12 Day 2,Virtual Ride,,4098,27.00,28,false,,activities/576597715.fit.gz
524898089,"23 Mar 2016, 19:04:40",Zwift - Watopia - 10-12wk FTP Builder Week 12 Day 3,Virtual Ride,,3993,24.21,24,false,,activities/577445984.fit.gz
525741741,"24 Mar 2016, 19:54:40","Zwift - Richmond, VA - 10-12wk FTP Builder week 12 Day 4",Virtual Ride,Last ride of the training programme!,5133,42.26,67,false,,activities/578301250.fit.gz
534530720,"3 Apr 2016, 08:17:24",Adventure into Switzerland w/ ADH,Ride,"",18498,47.81,127,false,,activities/587323573.fit.gz
535748303,"4 Apr 2016, 17:21:24",Escape to Brugg in the fading daylight,Ride,"",1851,9.83,16,false,,activities/588578624.fit.gz
537635929,"6 Apr 2016, 17:47:18",Hill sprint before dinner,Ride,"",1087,5.22,54,false,,activities/590495231.fit.gz
539275982,"8 Apr 2016, 12:24:02",The commute,Ride,"",11786,77.63,193,false,,activities/592157765.fit.gz
540195606,"9 Apr 2016, 14:37:06",à pied w/ C,Run,"",1909,3.51,9,false,,activities/593097104.fit.gz
543491856,"12 Apr 2016, 18:22:51",Zwift - FTP Test,Virtual Ride,Started too hard,4794,31.14,77,false,,activities/596478905.fit.gz
547063468,"16 Apr 2016, 08:28:59",A wet Wiggle Spring Saddle short w/ C,Ride,"",15685,66.03,78,false,,activities/600149886.fit.gz
548119957,"17 Apr 2016, 08:28:07",MK Evans RideIt 60 miles w/ JK,Ride,"",15662,98.59,452,false,,activities/601245527.fit.gz
550564758,"19 Apr 2016, 18:04:39",Zwift - 1 hr Foundation/chill,Virtual Ride,"",3464,23.14,10,false,,activities/603807042.fit.gz
551658980,"20 Apr 2016, 18:21:39",Zwift - Foundation,Virtual Ride,,4082,25.27,23,false,,activities/604935860.fit.gz
555358657,"24 Apr 2016, 11:54:08",Tring pootle w/ C,Ride,"",4669,25.26,27,false,,activities/608861397.fit.gz
556646313,"25 Apr 2016, 17:32:49",Zwift - Watopia - Mountain,Virtual Ride,,3994,28.96,,false,,activities/610204151.fit.gz
566694473,"5 May 2016, 19:35:51",Zwift - payment for the week off...,Virtual Ride,"",4044,29.05,57,false,,activities/620515618.fit.gz
569552311,"8 May 2016, 10:49:02",Out to Tring,Ride,New max HR in the heat. Front wheel puncture. Didn't pace the London hills very well!,10181,57.35,208,false,,activities/623477555.fit.gz
571845319,"10 May 2016, 17:56:56",Zwift - 1 hr whilst catching up with Tour de Yorkshire on ITV player,Virtual Ride,,3778,28.04,30,false,,activities/625845996.fit.gz
575765610,"14 May 2016, 08:45:47",Pedal of Honour 2016 w/ Team Breakaway,Ride,"",22216,87.79,151,false,,activities/629874011.fit.gz
576771898,"15 May 2016, 08:54:58",SACCR 2016 w/ Jay & Andrew,Ride,"",13200,54.68,103,false,,activities/630923620.fit.gz
578313266,"16 May 2016, 18:20:28",Zwift - Foundation ride,Virtual Ride,"",3947,25.29,25,false,,activities/632530093.fit.gz
580863822,"19 May 2016, 06:45:57",Zwift - Pre-breakfast mountain foundation,Virtual Ride,,4241,27.15,28,false,,activities/635142020.fit.gz
590735492,"27 May 2016, 11:22:25",Errands,Ride,"",392,1.54,,false,,activities/645319541.fit.gz
590735974,"28 May 2016, 08:39:18",Chilterns escapade,Ride,"",18917,84.14,202,false,,activities/645319877.fit.gz
592849724,"30 May 2016, 11:23:40",Hampstead jog w/ C,Run,"",2551,4.57,11,false,,activities/647513272.fit.gz
594297960,"31 May 2016, 18:10:16","Zwift - Richmond, VA - Jon's Mix",Virtual Ride,,3538,28.05,68,false,,activities/649008460.fit.gz
600704308,"6 Jun 2016, 17:07:52",Zwift - Jon's Mix - Not the day for Zwifting but I did it anyway.,Virtual Ride,,3515,26.01,92,false,,activities/655603720.fit.gz
602605740,"8 Jun 2016, 11:10:51",Ridgmont - where was OUCC?,Ride,"",4467,30.08,89,false,,activities/657571302.fit.gz
605945619,"11 Jun 2016, 10:16:18",SACCR 30 mile route w/ C,Ride,"",14407,44.29,59,false,,activities/661071392.fit.gz
610328316,"15 Jun 2016, 17:39:50",Zwift - ZZRC Group Ride,Virtual Ride,,4029,36.17,22,false,,activities/665621419.fit.gz
611863940,"17 Jun 2016, 07:44:36",Zwift - Canyon Pretzel challange,Virtual Ride,Endurance. First 1.75 hours pre-breakfast.,14221,73.07,69,false,,activities/667230469.fit.gz
612869220,"18 Jun 2016, 12:19:22",Recovery lap - Orange leader's jersey!! (reverse Watopia lap),Virtual Ride,"",1859,10.04,6,false,,activities/668278144.fit.gz
615424450,"20 Jun 2016, 18:31:07",Zwift - Zones 2&3,Virtual Ride,,4548,29.20,32,false,,activities/670981736.fit.gz
617592800,"22 Jun 2016, 18:48:10",Zwift - Hill Reps,Virtual Ride,"",3315,25.19,22,false,,activities/673225139.fit.gz
629988412,"4 Jul 2016, 16:53:41",South Devon evening scout,Ride,"",2447,11.73,36,false,,activities/689803151.fit.gz
630721480,"5 Jul 2016, 09:42:53",To Salcombe,Ride,"",2126,10.92,100,false,,activities/691146246.fit.gz
630721559,"5 Jul 2016, 11:00:24",Salcombe return,Ride,"",2147,10.59,73,false,,activities/691146367.fit.gz
633217796,"7 Jul 2016, 10:44:31",Baa-ewe-tiful Dartmoor loop w/ C,Ride,"",9455,28.03,44,false,,activities/695458406.fit.gz
